t,x,xdot
18.7,-1.93023,0.611914
18.8,-1.87534,0.699297
18.9,-1.81349,0.777663
19,-1.74529,0.850289
19.1,-1.67112,0.919854
19.2,-1.59114,0.988585
19.3,-1.50531,1.05839
19.4,-1.41345,1.13094
19.5,-1.31525,1.2078
19.6,-1.21025,1.29039
19.7,-1.09788,1.38006
19.8,-0.977444,1.47805
19.9,-0.848146,1.58535
20,-0.709122,1.70256
20.1,-0.559487,1.82957
20.2,-0.398435,1.96503
20.3,-0.225394,2.10576
20.4,-0.0402639,2.24583
20.5,0.15626,2.37575
20.6,0.362315,2.48199
20.7,0.574549,2.54755
20.8,0.78803,2.55422
20.9,0.996571,2.48677
21,1.19352,2.33801
21.1,1.37282,2.1125
21.2,1.52985,1.82658
21.3,1.66185,1.50428
21.4,1.76785,1.17127
21.5,1.84835,0.849451
21.6,1.90488,0.553972
21.7,1.93964,0.292806
21.8,1.95516,0.0679917
21.9,1.954,-0.122469
22,1.93855,-0.28281
22.1,1.91092,-0.418142
22.2,1.87289,-0.533593
22.3,1.82587,-0.633855
22.4,1.77095,-0.72301
22.5,1.70892,-0.804515
22.6,1.64033,-0.881278
22.7,1.5655,-0.955754
22.8,1.48458,-1.03005
22.9,1.39755,-1.10602
23,1.30425,-1.18532
23.1,1.20439,-1.26948
23.2,1.09757,-1.35993
23.3,0.983284,-1.45793
23.4,0.86092,-1.56457
23.5,0.729795,-1.68057
23.6,0.589175,-1.80604
23.7,0.438318,-1.94013
23.8,0.276546,-2.08046
23.9,0.103351,-2.2224
24,-0.0814517,-2.35827
24.1,-0.277505,-2.47667
24.2,-0.483617,-2.56232
24.3,-0.697403,-2.59707
24.4,-0.914908,-2.56263
24.5,-1.13038,-2.44522
24.6,-1.33645,-2.24097
24.7,-1.52493,-1.95971
24.8,-1.68837,-1.62445
24.9,-1.82157,-1.26571
25,-1.92259,-0.913265
25.1,-1.99254,-0.589369
25.2,-2.03465,-0.306127
25.3,-2.05305,-0.0667016
25.4,-2.0519,0.131711
25.5,-2.03487,0.294923
25.6,-2.00493,0.429644
25.7,-1.96441,0.542291
25.8,-1.91503,0.63847
