t,x,xdot
93.9,1.10773,-1.35129
94,0.994151,-1.44855
94.1,0.87256,-1.55435
94.2,0.742273,-1.66947
94.3,0.60256,-1.79409
94.4,0.452676,-1.92746
94.5,0.291936,-2.06736
94.6,0.119809,-2.20942
94.7,-0.0639285,-2.34627
94.8,-0.258979,-2.46686
94.9,-0.464242,-2.55626
95,-0.677459,-2.5965
95.1,-0.894835,-2.56912
95.2,-1.11078,-2.45972
95.3,-1.31805,-2.26329
95.4,-1.5085,-1.98834
95.5,-1.6745,-1.65683
95.6,-1.81063,-1.29894
95.7,-1.91461,-0.944838
95.8,-1.98731,-0.617647
95.9,-2.03182,-0.330407
96,-2.05223,-0.0869914
96.1,-2.05273,0.114988
96.2,-2.03702,0.281168
96.3,-2.00817,0.418237
96.4,-1.96854,0.53267
96.5,-1.91992,0.630159
96.6,-1.86359,0.715457
96.7,-1.80043,0.792444
96.8,-1.73103,0.864267
96.9,-1.6557,0.933501
97,-1.57456,1.0023
97.1,-1.48755,1.07252
97.2,-1.39447,1.14581
97.3,-1.29496,1.22369
97.4,-1.18855,1.30759
97.5,-1.07463,1.39882
97.6,-0.952502,1.49859
97.7,-0.821343,1.60783
97.8,-0.680282,1.72702
97.9,-0.528439,1.85586
98,-0.365041,1.9927
98.1,-0.189587,2.13387
98.2,-0.00210854,2.2728
98.3,0.196499,2.39922
98.4,0.404099,2.49882
98.5,0.617021,2.55412
98.6,0.830042,2.5471
98.7,1.03681,2.46373
98.8,1.2307,2.29897
98.9,1.40589,2.05985
99,1.5581,1.76465
99.1,1.68497,1.43824
99.2,1.78583,1.10589
99.3,1.86141,0.788333
99.4,1.91343,0.499246
99.5,1.94417,0.245293
99.6,1.95618,0.0275535
99.7,1.95199,-0.156546
99.8,1.93397,-0.311504
99.9,1.90415,-0.442491
100,1.86423,-0.554571
