f,Vin,Vout,dt
10,4.02,3.32,2.6e-3
20,4.02,3.2917,2.6e-3
30,4.02,3.04,2.6e-3
40,4.02,2.87,2.45e-3
50,4.02,2.68,2.3e-3
60,4.02,2.52,2.2e-3
70,4.02,2.32,2.2e-3
80,4.02,2.17,2e-3
100,4.02,1.86,1.8e-3
110,4.02,1.735,1.8e-3
130,4.02,1.521,1.6e-3
500,4.02,0.303,720e-6
1e3,4.02,94.35e-3,420e-6
