f,Vin,Vout,dt
10,4.03,3.95,2.6e-3
20,4.03,3.925,2e-3
50,4.03,3.64,2e-3
80,4.03,3.15,1.9e-3
100,4.03,2.85,1.9e-3
200,4.03,1.548,1.46e-3
500,4.03,0.370,800e-6
1000,4.03,0.102,465e-6
2000,4.03,25.7e-3,240e-6
