f,Vin,Vout,dt
10,4.02,3.625,2.6e-3
20,4.02,3.593,2e-3
50,4.02,3.313,1.9e-3
80,4.02,2.969,1.8e-3
100,4.02,2.687,1.75e-3
200,4.02,1.49,1.38e-3
500,4.02,380e-3,805e-6
1e3,4.02,106e-3,460e-6
